accession	E_or_T	total_intensity	more_info	layout	Stress	Normal	significant_difference	piechart_graphics	
6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	experimental	14719880002.46	Accession = E7; Aggregated Mass = 6637.86053555536; Aggregated Retention Time = 30.9933350752068; Total Intensity = 14719880002.46; Aggregated Component Count = 1198; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 604.26801; RT (min): 30.1991383333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 604.26801; RT (min): 30.1991383333333\n\nQuantitation Results:Q-Value = 0.927050435448368264905732606; Log2FC = -0.507840715096864; Significant = False; Stress Quantitative Component Count = 1307; Normal Quantitative Component Count = 1335; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep1_2-70-2-10; Scan Range: 211-212; Charge State m/z (+11): 604.2668; RT (min): 29.48413	111	6077771976.91	8642108025.55	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6653.85_Da_E1317 P05747_2full59_1G_P1_1T Ox	experimental_below_quantification_threshold	20	Accession = E1317; Aggregated Mass = 6653.846741086; Aggregated Retention Time = 43.0494463858087; Total Intensity = 20; Aggregated Component Count = 18; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 312-314; Charge State m/z (+11): 605.72068; RT (min): 42.8114225; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 605.72072; RT (min): 43.0780475	112				
6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	experimental	34233451.3	Accession = E288; Aggregated Mass = 6653.85234335376; Aggregated Retention Time = 30.6517183100769; Total Intensity = 34233451.3; Aggregated Component Count = 75; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 605.72097; RT (min): 30.1991383333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 605.72097; RT (min): 30.1991383333333\n\nQuantitation Results:Q-Value = 0.8898696203992154147917387793; Log2FC = -1.18901940849172; Significant = True; Stress Quantitative Component Count = 49; Normal Quantitative Component Count = 51; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep1_2-70-2-10; Scan Range: 232-234; Charge State m/z (+11): 605.85356; RT (min): 32.3715658333333	113	10551318.0700799	23796350.97	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	experimental_below_quantification_threshold	20	Accession = E358; Aggregated Mass = 6669.84629795074; Aggregated Retention Time = 30.7618462917356; Total Intensity = 20; Aggregated Component Count = 94; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 607.17528; RT (min): 30.1991383333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 607.17528; RT (min): 30.1991383333333	114				
6670.84_Da_E1699 P05747_2full59_1G_P1_1T Ox; Deamidation; Ox	experimental_below_quantification_threshold	20	Accession = E1699; Aggregated Mass = 6670.84121236659; Aggregated Retention Time = 42.6781; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 311-313; Charge State m/z (+11): 607.26515; RT (min): 42.6781; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep1_2-70-2-10; Scan Range: 327-329; Charge State m/z (+9): 741.981831412443; RT (min): 46.2272858333333	115				
6678.87_Da_E1479 P05747_2full59_1G_P1_1T Ammonia loss; Acetyl; Ox	experimental_below_quantification_threshold	20	Accession = E1479; Aggregated Mass = 6678.8666052315; Aggregated Retention Time = 43.015553881347; Total Intensity = 20; Aggregated Component Count = 2; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 607.99471; RT (min): 43.0780475; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 607.99471; RT (min): 43.0780475	116				
6678.87_Da_E1393 P05747_2full59_1G_P1_1T Ammonia loss; Acetyl; Ox	experimental_below_quantification_threshold	20	Accession = E1393; Aggregated Mass = 6678.86693245691; Aggregated Retention Time = 32.5286649417458; Total Intensity = 20; Aggregated Component Count = 12; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 607.99406; RT (min): 32.4344583333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 607.99406; RT (min): 32.4344583333333	117				
6687.64_Da_E192 Q6Q547_2full58_1G_P1_1T Retained Met	experimental	32899750.8981688	Accession = E192; Aggregated Mass = 6687.63930467844; Aggregated Retention Time = 46.8748248094635; Total Intensity = 32899750.8981688; Aggregated Component Count = 74; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 342-344; Charge State m/z (+9): 743.96691; RT (min): 46.8024266666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 342-344; Charge State m/z (+9): 743.96691; RT (min): 46.8024266666667\n\nQuantitation Results:Q-Value = 0.8986578321440706761807679239; Log2FC = -1.03159459360468; Significant = False; Stress Quantitative Component Count = 9; Normal Quantitative Component Count = 17; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep1_2-70-2-10; Scan Range: 341-343; Charge State m/z (+8): 836.99324; RT (min): 47.1304158333333	118	11357775.1062178	23065564.0023751	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6687.64_Da_E1348 Q6Q547_2full58_1G_P1_1T Retained Met	experimental_below_quantification_threshold	20	Accession = E1348; Aggregated Mass = 6687.64269937101; Aggregated Retention Time = 53.0384328635662; Total Intensity = 20; Aggregated Component Count = 13; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 387-389; Charge State m/z (+9): 743.96748; RT (min): 52.9083441666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 387-389; Charge State m/z (+9): 743.96748; RT (min): 52.9083441666667	119				
6687.86_Da_E601 P05747_2full59_1G_P1_1T Ox; Ox; Water Adduct	experimental_below_quantification_threshold	20	Accession = E601; Aggregated Mass = 6687.8586618639; Aggregated Retention Time = 30.5061193729969; Total Intensity = 20; Aggregated Component Count = 20; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 218-220; Charge State m/z (+11): 608.81246; RT (min): 30.0593783333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 608.8123; RT (min): 30.1991383333333	120				
6703.63_Da_E300 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	experimental	59779329.46	Accession = E300; Aggregated Mass = 6703.63431061948; Aggregated Retention Time = 46.5258476904745; Total Intensity = 59779329.46; Aggregated Component Count = 67; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 340-342; Charge State m/z (+9): 745.74452; RT (min): 46.5421725; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 340-342; Charge State m/z (+9): 745.74452; RT (min): 46.5421725\n\nQuantitation Results:Q-Value = 0.3043981481481481481481481483; Log2FC = -0.814757990688368; Significant = True; Stress Quantitative Component Count = 27; Normal Quantitative Component Count = 31; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 333-335; Charge State m/z (+9): 745.88324; RT (min): 45.9527308333333	121	21667003.7	38112325.76	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6703.64_Da_E1908 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	experimental_below_quantification_threshold	20	Accession = E1908; Aggregated Mass = 6703.63654997339; Aggregated Retention Time = 52.3849754724902; Total Intensity = 20; Aggregated Component Count = 3; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 383-385; Charge State m/z (+10): 671.27058; RT (min): 52.3736258333333; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract10_rep1_2-70-2-10-50; Scan Range: 393-395; Charge State m/z (+9): 746.21123; RT (min): 53.6905925	122				
6703.89_Da_E1758 P05747_2full59_1G_P1_1T Acetyl; Acetyl; Water loss	experimental_below_quantification_threshold	20	Accession = E1758; Aggregated Mass = 6703.89447912322; Aggregated Retention Time = 31.5260541666667; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 229-230; Charge State m/z (+11): 610.26999; RT (min): 31.5260541666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 229-230; Charge State m/z (+11): 610.26999; RT (min): 31.5260541666667	123				
6719.63_Da_E1026 Q6Q547_2full58_1G_P2_1T Ox; Retained Met; Ox	experimental	30200854.02	Accession = E1026; Aggregated Mass = 6719.62876134988; Aggregated Retention Time = 46.3406004725224; Total Intensity = 30200854.02; Aggregated Component Count = 30; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 313-315; Charge State m/z (+9): 747.5209; RT (min): 46.186035; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 611.90786; RT (min): 43.0780475\n\nQuantitation Results:Q-Value = 0.8164536217633562766306129138; Log2FC = -0.725529527485654; Significant = False; Stress Quantitative Component Count = 21; Normal Quantitative Component Count = 26; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep2_2-70-2-10; Scan Range: 329-331; Charge State m/z (+7): 960.81019; RT (min): 45.6170141666667	124	11828516.4943953	19632211.0913383	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	experimental	10596388.6151467	Accession = E1143; Aggregated Mass = 6721.90950236575; Aggregated Retention Time = 32.496349635001; Total Intensity = 10596388.6151467; Aggregated Component Count = 59; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 231-233; Charge State m/z (+11): 611.90753; RT (min): 31.8754325; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 231-233; Charge State m/z (+11): 611.90753; RT (min): 31.8754325\n\nQuantitation Results:Q-Value = 0.3281746031746031746031746029; Log2FC = 3.01563891087381; Significant = True; Stress Quantitative Component Count = 24; Normal Quantitative Component Count = 7; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep1_2-70-2-10; Scan Range: 213-215; Charge State m/z (+11): 611.9074; RT (min): 29.8378133333333	125	7513201.5939165	1554779.74135527	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6735.81_Da_E864 P05747_2full59_1G_P1_1T Sulfate Adduct	experimental	993109963.03	Accession = E864; Aggregated Mass = 6735.80978076774; Aggregated Retention Time = 31.3247736512371; Total Intensity = 993109963.03; Aggregated Component Count = 32; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 613.17121; RT (min): 30.67657; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 219-221; Charge State m/z (+11): 613.17121; RT (min): 30.67657\n\nQuantitation Results:Q-Value = 0.9159976450438878184542924428; Log2FC = -0.585999997715684; Significant = False; Stress Quantitative Component Count = 537; Normal Quantitative Component Count = 571; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep1_2-70-2-10; Scan Range: 211-212; Charge State m/z (+11): 613.17216; RT (min): 29.48413	126	397072593.57	596037369.46	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6735.81_Da_E1323 P05747_2full59_1G_P1_1T Sulfate Adduct	experimental	118990162.3	Accession = E1323; Aggregated Mass = 6735.81320818576; Aggregated Retention Time = 43.4283612272059; Total Intensity = 118990162.3; Aggregated Component Count = 47; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-27-15_S_fract8_rep2_2-70-2-10; Scan Range: 312-314; Charge State m/z (+11): 613.17155; RT (min): 43.1443358333333; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract8_rep2_2-70-2-10; Scan Range: 312-314; Charge State m/z (+11): 613.17155; RT (min): 43.1443358333333\n\nQuantitation Results:Q-Value = 0.9283690022476302159679468386; Log2FC = -0.466028048856503; Significant = False; Stress Quantitative Component Count = 142; Normal Quantitative Component Count = 154; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep1_2-70-2-10; Scan Range: 304-306; Charge State m/z (+11): 613.30543; RT (min): 42.2559933333333	127	49968545.41	69021616.89	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	experimental	25562828.86	Accession = E810; Aggregated Mass = 6735.92443046618; Aggregated Retention Time = 32.3978037800495; Total Intensity = 25562828.86; Aggregated Component Count = 108; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 234-236; Charge State m/z (+11): 613.18177; RT (min): 32.294595; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 234-236; Charge State m/z (+11): 613.18177; RT (min): 32.294595\n\nQuantitation Results:Q-Value = 0.8615163985534355904726275097; Log2FC = -0.604986651100773; Significant = False; Stress Quantitative Component Count = 56; Normal Quantitative Component Count = 65; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep2_2-70-2-10; Scan Range: 199-201; Charge State m/z (+11): 613.18179; RT (min): 27.8515566666667	128	10140097.98	15422730.88	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6735.93_Da_E447 P05747_2full59_1G_P1_1T Acetone Artifact	experimental	37115786.8353843	Accession = E447; Aggregated Mass = 6735.92641656903; Aggregated Retention Time = 43.1191451889389; Total Intensity = 37115786.8353843; Aggregated Component Count = 88; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 613.18198; RT (min): 43.0780475; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 613.18198; RT (min): 43.0780475\n\nQuantitation Results:Q-Value = 0.3486368312757201646090534979; Log2FC = 0.253303656527357; Significant = False; Stress Quantitative Component Count = 25; Normal Quantitative Component Count = 50; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 308-310; Charge State m/z (+11): 613.3154; RT (min): 42.7322058333333	129	24951302.4115917	16932898.79	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	experimental_below_quantification_threshold	20	Accession = E1990; Aggregated Mass = 6751.9269243112; Aggregated Retention Time = 32.8308541666667; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 614.63658; RT (min): 32.8308541666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 236-238; Charge State m/z (+11): 614.63547; RT (min): 32.5741233333333	130				
6785.72_Da_E1718 Q6Q547_2full58_1G_P1_1T Retained Met; Acetone Artifact	experimental_below_quantification_threshold	20	Accession = E1718; Aggregated Mass = 6785.71552520893; Aggregated Retention Time = 47.281775; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 342-344; Charge State m/z (+10): 679.4786; RT (min): 47.281775; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 342-344; Charge State m/z (+9): 754.86449; RT (min): 47.3045233333333	131				
6877.75_Da_E712	experimental_below_quantification_threshold	20	Accession = E712; Aggregated Mass = 6877.74640977962; Aggregated Retention Time = 43.317658284968; Total Intensity = 20; Aggregated Component Count = 51; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-27-15_S_fract9_rep2_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 626.07474; RT (min): 43.4169133333333; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract9_rep2_2-70-2-10; Scan Range: 314-316; Charge State m/z (+11): 626.07474; RT (min): 43.4169133333333	132				
6877.75_Da_E1289	experimental	401323868.41	Accession = E1289; Aggregated Mass = 6877.74872116653; Aggregated Retention Time = 33.0454235259579; Total Intensity = 401323868.41; Aggregated Component Count = 17; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 233-235; Charge State m/z (+11): 626.07491; RT (min): 32.5682283333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 233-235; Charge State m/z (+11): 626.07491; RT (min): 32.5682283333333\n\nQuantitation Results:Q-Value = 0.8404713804713804713804713804; Log2FC = -1.39083692634706; Significant = False; Stress Quantitative Component Count = 113; Normal Quantitative Component Count = 136; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 626.20846; RT (min): 32.7809733333333	133	110792321.51	290531546.9	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
7055.69_Da_E1577	experimental_below_quantification_threshold	20	Accession = E1577; Aggregated Mass = 7055.69278802462; Aggregated Retention Time = 42.7972135445533; Total Intensity = 20; Aggregated Component Count = 6; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 310-312; Charge State m/z (+10): 706.37615; RT (min): 42.9531733333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 310-312; Charge State m/z (+10): 706.37615; RT (min): 42.9531733333333	134				
7055.69_Da_E1712	experimental_below_quantification_threshold	20	Accession = E1712; Aggregated Mass = 7055.69372561837; Aggregated Retention Time = 32.8968584411404; Total Intensity = 20; Aggregated Component Count = 9; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 642.25185; RT (min): 32.8353466666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 235-237; Charge State m/z (+11): 642.25185; RT (min): 32.8353466666667	135				
8551.84_Da_E848 P52870_2full82_1G_P1_1T Missing Serine (S)	experimental_below_quantification_threshold	20	Accession = E848; Aggregated Mass = 8551.83744522015; Aggregated Retention Time = 82.1154794367856; Total Intensity = 20; Aggregated Component Count = 17; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 610-612; Charge State m/z (+11): 778.3555; RT (min): 82.5244941666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 610-612; Charge State m/z (+11): 778.3555; RT (min): 82.5244941666667	136				
8638.87_Da_E512 P52870_2full82_1G_P1_1T Unmodified	experimental	32302548.2291786	Accession = E512; Aggregated Mass = 8638.86621336597; Aggregated Retention Time = 82.2294908598948; Total Intensity = 32302548.2291786; Aggregated Component Count = 54; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 596-598; Charge State m/z (+7): 1234.98819; RT (min): 81.5457925; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 596-598; Charge State m/z (+7): 1234.98819; RT (min): 81.5457925\n\nQuantitation Results:Q-Value = 0.4708333333333333333333333332; Log2FC = -2.37731470059369; Significant = False; Stress Quantitative Component Count = 16; Normal Quantitative Component Count = 27; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 574-576; Charge State m/z (+10): 864.923414824715; RT (min): 78.0691241666667	137	6809972.41321071	27088833.45	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
8664.86_Da_E959	experimental_below_quantification_threshold	20	Accession = E959; Aggregated Mass = 8664.86021234347; Aggregated Retention Time = 82.613542982318; Total Intensity = 20; Aggregated Component Count = 8; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 598-600; Charge State m/z (+10): 867.3938; RT (min): 81.8123616666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 598-600; Charge State m/z (+10): 867.3938; RT (min): 81.8123616666667	138				
8680.88_Da_E66 P52870_2full82_1G_P1_1T Acetyl	experimental	814456499.86	Accession = E66; Aggregated Mass = 8680.87873026307; Aggregated Retention Time = 82.6430895996566; Total Intensity = 814456499.86; Aggregated Component Count = 233; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 598-600; Charge State m/z (+7): 1240.98969; RT (min): 81.8123616666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 598-600; Charge State m/z (+7): 1240.98969; RT (min): 81.8123616666667\n\nQuantitation Results:Q-Value = 0.9927751159784013993459578675; Log2FC = -0.634884882230211; Significant = False; Stress Quantitative Component Count = 60; Normal Quantitative Component Count = 69; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 576-578; Charge State m/z (+7): 1241.03041887117; RT (min): 78.33597	139	319042652.83	495413847.03	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
8760.84_Da_E460 P52870_2full82_1G_P1_1T Acetyl; Phospho	experimental	52109222.99	Accession = E460; Aggregated Mass = 8760.84387241888; Aggregated Retention Time = 83.6213107064329; Total Intensity = 52109222.99; Aggregated Component Count = 67; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 616-618; Charge State m/z (+7): 1252.41322; RT (min): 83.8251566666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 616-618; Charge State m/z (+7): 1252.41322; RT (min): 83.8251566666667\n\nQuantitation Results:Q-Value = 0.3323045267489711934156378604; Log2FC = 1.99730931159118; Significant = True; Stress Quantitative Component Count = 29; Normal Quantitative Component Count = 27; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 580-582; Charge State m/z (+7): 1252.41261; RT (min): 78.869645	140	41671819.94	12748359.7758923	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
8764.94_Da_E1321 P52870_2full82_1G_P1_1T Acetyl; Acetyl; Acetyl	experimental_below_quantification_threshold	20	Accession = E1321; Aggregated Mass = 8764.93683073354; Aggregated Retention Time = 83.0697753844518; Total Intensity = 20; Aggregated Component Count = 2; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 610-612; Charge State m/z (+7): 1252.99734; RT (min): 83.0102325; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 611-613; Charge State m/z (+7): 1252.99865; RT (min): 83.1436358333333	141				
8778.95_Da_E750 P52870_2full82_1G_P1_1T Acetyl; Acetone Artifact	experimental_below_quantification_threshold	20	Accession = E750; Aggregated Mass = 8778.95270119873; Aggregated Retention Time = 83.2367745627713; Total Intensity = 20; Aggregated Component Count = 75; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 614-616; Charge State m/z (+10): 878.80233; RT (min): 83.5434691666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 614-616; Charge State m/z (+10): 878.80233; RT (min): 83.5434691666667	142				
8947.03_Da_E316 P52870_2full82_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	experimental_below_quantification_threshold	20	Accession = E316; Aggregated Mass = 8947.03161758728; Aggregated Retention Time = 81.7476152634006; Total Intensity = 20; Aggregated Component Count = 11; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1279.01153; RT (min): 81.78364; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1279.01153; RT (min): 81.78364	143				
9213.18_Da_E831 P52870_2full82_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	experimental_below_quantification_threshold	20	Accession = E831; Aggregated Mass = 9213.18479969454; Aggregated Retention Time = 81.7100845452976; Total Intensity = 20; Aggregated Component Count = 4; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1317.03331; RT (min): 81.78364; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1317.03331; RT (min): 81.78364	144				
