accession	E_or_T	total_intensity	more_info	layout	
8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	experimental	851875600.02	Accession = E60; Aggregated Mass = 8892.20449759008; Aggregated Retention Time = 50.5183094611402; Total Intensity = 851875600.02; Aggregated Component Count = 12; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 369-371; Charge State m/z (+11): 809.20729; RT (min): 50.39926; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 369-371; Charge State m/z (+11): 809.20729; RT (min): 50.39926	914
8892.31_Da_E2183 P49167_2full78_1G_P1_1T Acetone Artifact	experimental	32317.81	Accession = E2183; Aggregated Mass = 8892.31431657433; Aggregated Retention Time = 62.7452633333333; Total Intensity = 32317.81; Aggregated Component Count = 1; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep2_2-70-2-10; Scan Range: 458-460; Charge State m/z (+12): 741.86642; RT (min): 62.7452633333333; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract3_rep2_2-70-2-10; Scan Range: 457-459; Charge State m/z (+11): 809.21775; RT (min): 62.6111775	915
8892.32_Da_E948 P49167_2full78_1G_P1_1T Acetone Artifact	experimental	16426884.72	Accession = E948; Aggregated Mass = 8892.31509953387; Aggregated Retention Time = 57.5374777446579; Total Intensity = 16426884.72; Aggregated Component Count = 14; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 420-422; Charge State m/z (+11): 809.21717; RT (min): 57.31417; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 427-429; Charge State m/z (+12): 741.86721; RT (min): 58.13209	916
8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	experimental	780236791.14	Accession = E83; Aggregated Mass = 8892.31870188603; Aggregated Retention Time = 51.07247707941; Total Intensity = 780236791.14; Aggregated Component Count = 59; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 373-375; Charge State m/z (+12): 741.8669; RT (min): 50.9320866666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 373-375; Charge State m/z (+12): 741.8669; RT (min): 50.9320866666667	917
8894.1_Da_E2148	experimental	49579.84	Accession = E2148; Aggregated Mass = 8894.10248544399; Aggregated Retention Time = 69.2688791666667; Total Intensity = 49579.84; Aggregated Component Count = 1; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 506-508; Charge State m/z (+11): 809.47093; RT (min): 69.2688791666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 538-540; Charge State m/z (+10): 890.41737; RT (min): 73.4001175	918
8926.71_Da_E1199	experimental	9595625.38	Accession = E1199; Aggregated Mass = 8926.7110332317; Aggregated Retention Time = 52.8919397542086; Total Intensity = 9595625.38; Aggregated Component Count = 12; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 379-381; Charge State m/z (+12): 744.81608; RT (min): 51.7376; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 378-380; Charge State m/z (+12): 744.81606; RT (min): 51.5980333333333	919
8940.73_Da_E1916	experimental	616336.82	Accession = E1916; Aggregated Mass = 8940.73062702521; Aggregated Retention Time = 53.9462085097138; Total Intensity = 616336.82; Aggregated Component Count = 3; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep1_2-70-2-10; Scan Range: 391-393; Charge State m/z (+11): 813.71035; RT (min): 53.9425033333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 374-376; Charge State m/z (+11): 813.52649; RT (min): 51.0651883333333	920
8946.76_Da_E2130	experimental	107864.99	Accession = E2130; Aggregated Mass = 8946.75728055258; Aggregated Retention Time = 73.6510028280657; Total Intensity = 107864.99; Aggregated Component Count = 2; ; Lysine Count = 5; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep1_2-70-2-10; Scan Range: 538-540; Charge State m/z (+9): 995.09136; RT (min): 73.5920875; Abundant Component for Manual Validation of Identification Validation: File: 09-09-15_5-stress_rep1_2-70-2-10; Scan Range: 518-520; Charge State m/z (+6): 1491.78495; RT (min): 75.2597241666667	921
8947.03_Da_E316 P52870_2full82_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	experimental	92911556.4	Accession = E316; Aggregated Mass = 8947.03161758728; Aggregated Retention Time = 81.7476152634006; Total Intensity = 92911556.4; Aggregated Component Count = 11; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1279.01153; RT (min): 81.78364; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 601-603; Charge State m/z (+7): 1279.01153; RT (min): 81.78364	922
8952.13_Da_E1210 P35179_2full80_1G_P1_1T Unmodified	experimental	17153220.63	Accession = E1210; Aggregated Mass = 8952.12933997934; Aggregated Retention Time = 72.9713133650634; Total Intensity = 17153220.63; Aggregated Component Count = 13; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 533-535; Charge State m/z (+11): 814.746; RT (min): 72.7334125; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 533-535; Charge State m/z (+11): 814.746; RT (min): 72.7334125	923
8952.13_Da_E670	experimental	55938657.28	Accession = E670; Aggregated Mass = 8952.12983522119; Aggregated Retention Time = 66.4575194496183; Total Intensity = 55938657.28; Aggregated Component Count = 22; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 476-478; Charge State m/z (+11): 814.74756; RT (min): 65.5530383333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 475-477; Charge State m/z (+11): 814.74607; RT (min): 65.4199416666667	924
8965.7_Da_E2055	experimental	359331.85	Accession = E2055; Aggregated Mass = 8965.70350777059; Aggregated Retention Time = 57.2246520374417; Total Intensity = 359331.85; Aggregated Component Count = 5; ; Lysine Count = 5; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep1_2-70-2-10; Scan Range: 415-417; Charge State m/z (+12): 748.14948; RT (min): 57.0060341666667; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract10_rep1_2-70-2-10-50; Scan Range: 429-431; Charge State m/z (+10): 897.30208; RT (min): 58.4862425	925
8966.71_Da_E694	experimental	17124956.46	Accession = E694; Aggregated Mass = 8966.71354066048; Aggregated Retention Time = 51.9128512754882; Total Intensity = 17124956.46; Aggregated Component Count = 6; ; Lysine Count = 6; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 376-378; Charge State m/z (+13): 690.67745; RT (min): 51.337855; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 376-378; Charge State m/z (+12): 748.14971; RT (min): 51.3316091666667	926
8972.18_Da_E413 P49167_2full78_1G_P1_1T Sulfate Adduct; Phospho	experimental	26497190.29	Accession = E413; Aggregated Mass = 8972.18143298029; Aggregated Retention Time = 50.3631446171976; Total Intensity = 26497190.29; Aggregated Component Count = 5; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 369-371; Charge State m/z (+11): 816.4778; RT (min): 50.39926; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 370-372; Charge State m/z (+11): 816.4777; RT (min): 50.5323608333333	927
8975.06_Da_E580	experimental	31101261.71	Accession = E580; Aggregated Mass = 8975.05993052703; Aggregated Retention Time = 82.1892716813227; Total Intensity = 31101261.71; Aggregated Component Count = 8; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 603-605; Charge State m/z (+7): 1283.01553; RT (min): 82.0773166666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 603-605; Charge State m/z (+7): 1283.01553; RT (min): 82.0773166666667	928
8980.17_Da_E1134	experimental	2582033.32	Accession = E1134; Aggregated Mass = 8980.16942107309; Aggregated Retention Time = 62.0834483333333; Total Intensity = 2582033.32; Aggregated Component Count = 1; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-27-15_S_fract11_rep1_2-70-2-10-50; Scan Range: 454-456; Charge State m/z (+9): 998.69251; RT (min): 62.0834483333333; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract9_rep1_2-70-2-10; Scan Range: 483-485; Charge State m/z (+8): 1123.20416710338; RT (min): 65.9523266666667	929
8982.86_Da_E2117	experimental	181598.29	Accession = E2117; Aggregated Mass = 8982.8645295526; Aggregated Retention Time = 81.8249381264779; Total Intensity = 181598.29; Aggregated Component Count = 3; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 09-09-15_4-stress_rep2_2-70-2-10; Scan Range: 557-559; Charge State m/z (+8): 1123.73991; RT (min): 81.94438; Abundant Component for Manual Validation of Identification Validation: File: 09-09-15_4-stress_rep2_2-70-2-10; Scan Range: 556-558; Charge State m/z (+8): 1123.74009; RT (min): 81.8090175	930
8983.73_Da_E225	experimental	134588209.92	Accession = E225; Aggregated Mass = 8983.72711928333; Aggregated Retention Time = 57.4213292429173; Total Intensity = 134588209.92; Aggregated Component Count = 80; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 413-415; Charge State m/z (+11): 817.61872; RT (min): 56.3809775; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 413-415; Charge State m/z (+11): 817.61872; RT (min): 56.3809775	931
8983.73_Da_E994	experimental	19471150.41	Accession = E994; Aggregated Mass = 8983.7276503605; Aggregated Retention Time = 62.6274272026496; Total Intensity = 19471150.41; Aggregated Component Count = 9; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 459-461; Charge State m/z (+11): 817.61868; RT (min): 62.5191183333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 459-461; Charge State m/z (+11): 817.61868; RT (min): 62.5191183333333	932
8983.73_Da_E22	experimental	4918500869	Accession = E22; Aggregated Mass = 8983.72892800122; Aggregated Retention Time = 51.3542682412923; Total Intensity = 4918500869; Aggregated Component Count = 196; ; Lysine Count = 6; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 376-378; Charge State m/z (+12): 749.56828; RT (min): 51.3316091666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 376-378; Charge State m/z (+12): 749.56828; RT (min): 51.3316091666667	933
8987.11_Da_E1008	experimental	3399312.02	Accession = E1008; Aggregated Mass = 8987.1096484123; Aggregated Retention Time = 45.4549566666667; Total Intensity = 3399312.02; Aggregated Component Count = 1; ; Lysine Count = 18; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 329-331; Charge State m/z (+13): 692.0921; RT (min): 45.4549566666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 369-371; Charge State m/z (+11): 818.11346; RT (min): 50.39926	934
8990.28_Da_E294 P49167_2full78_1G_P1_1T Acetone Artifact; Sulfate Adduct	experimental	47260883.48	Accession = E294; Aggregated Mass = 8990.27846384443; Aggregated Retention Time = 50.9919240569788; Total Intensity = 47260883.48; Aggregated Component Count = 3; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 374-376; Charge State m/z (+11): 818.12312; RT (min): 51.0714316666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 374-376; Charge State m/z (+11): 818.25648; RT (min): 51.0714316666667	935
8997.73_Da_E1499	experimental	14950480.47	Accession = E1499; Aggregated Mass = 8997.73283481611; Aggregated Retention Time = 58.1220462117003; Total Intensity = 14950480.47; Aggregated Component Count = 29; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep2_2-70-2-10; Scan Range: 425-427; Charge State m/z (+12): 750.73572; RT (min): 58.3206758333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 417-419; Charge State m/z (+12): 750.73566; RT (min): 56.914325	936
8997.73_Da_E125	experimental	1245636044.83	Accession = E125; Aggregated Mass = 8997.7331878493; Aggregated Retention Time = 51.791904772397; Total Intensity = 1245636044.83; Aggregated Component Count = 135; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 380-382; Charge State m/z (+12): 750.73578; RT (min): 51.8707033333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 380-382; Charge State m/z (+12): 750.73578; RT (min): 51.8707033333333	937
9000.77_Da_E1483	experimental	1099327.11	Accession = E1483; Aggregated Mass = 9000.76677844307; Aggregated Retention Time = 53.0083291666667; Total Intensity = 1099327.11; Aggregated Component Count = 1; ; Lysine Count = 26; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep1_2-70-2-10; Scan Range: 384-386; Charge State m/z (+12): 750.737048970648; RT (min): 53.0083291666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 376-378; Charge State m/z (+12): 751.39826; RT (min): 51.3316091666667	938
9007.07_Da_E696	experimental	46816499.7	Accession = E696; Aggregated Mass = 9007.06613951797; Aggregated Retention Time = 82.5833736732494; Total Intensity = 46816499.7; Aggregated Component Count = 17; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 604-606; Charge State m/z (+7): 1287.58757; RT (min): 82.2104841666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 604-606; Charge State m/z (+7): 1287.58757; RT (min): 82.2104841666667	939
9013.73_Da_E669	experimental	73504674.75	Accession = E669; Aggregated Mass = 9013.72986212747; Aggregated Retention Time = 51.5540701199059; Total Intensity = 73504674.75; Aggregated Component Count = 34; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 375-377; Charge State m/z (+12): 752.06816; RT (min): 51.2047525; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 375-377; Charge State m/z (+12): 752.06816; RT (min): 51.2047525	940
9013.74_Da_E1966	experimental	579206.25	Accession = E1966; Aggregated Mass = 9013.73690165557; Aggregated Retention Time = 57.3272169944869; Total Intensity = 579206.25; Aggregated Component Count = 5; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep2_2-70-2-10; Scan Range: 418-420; Charge State m/z (+12): 752.0683; RT (min): 57.3829741666667; Abundant Component for Manual Validation of Identification Validation: File: 11-02-15_NS_fract9_rep2_2-70-2-10; Scan Range: 433-435; Charge State m/z (+12): 752.3401; RT (min): 58.85578	941
9021.08_Da_E1100	experimental	17455753.92	Accession = E1100; Aggregated Mass = 9021.07926408284; Aggregated Retention Time = 83.0456173429711; Total Intensity = 17455753.92; Aggregated Component Count = 12; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 612-614; Charge State m/z (+7): 1289.5893; RT (min): 83.2917083333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 612-614; Charge State m/z (+7): 1289.5893; RT (min): 83.2917083333333	942
9031.71_Da_E2085	experimental	148993.44	Accession = E2085; Aggregated Mass = 9031.71020929661; Aggregated Retention Time = 51.2441951824711; Total Intensity = 148993.44; Aggregated Component Count = 2; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 318-320; Charge State m/z (+11): 821.98058; RT (min): 51.3020508333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract4_rep1_2-70-2-10; Scan Range: 377-379; Charge State m/z (+11): 821.89227; RT (min): 52.0741083333333	943
9036.63_Da_E1600	experimental	1609150.92	Accession = E1600; Aggregated Mass = 9036.62969474065; Aggregated Retention Time = 56.2830775204821; Total Intensity = 1609150.92; Aggregated Component Count = 3; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 413-415; Charge State m/z (+11): 822.42788; RT (min): 56.3809775; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 412-414; Charge State m/z (+10): 904.56997; RT (min): 56.2474783333333	944
9044.13_Da_E149	experimental	84578731.82	Accession = E149; Aggregated Mass = 9044.13174080495; Aggregated Retention Time = 45.4802367197641; Total Intensity = 84578731.82; Aggregated Component Count = 21; ; Lysine Count = 17; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 306-308; Charge State m/z (+13): 696.55571; RT (min): 45.2538425; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+13): 696.55466; RT (min): 45.0439616666667	945
9045.92_Da_E1279	experimental	1970014.94	Accession = E1279; Aggregated Mass = 9045.91595021757; Aggregated Retention Time = 51.2918380254005; Total Intensity = 1970014.94; Aggregated Component Count = 3; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 374-376; Charge State m/z (+12): 754.75001; RT (min): 51.0714316666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 374-376; Charge State m/z (+12): 754.75001; RT (min): 51.0714316666667	946
9060.11_Da_E283	experimental	44538321.72	Accession = E283; Aggregated Mass = 9060.11345818938; Aggregated Retention Time = 45.2037846780558; Total Intensity = 44538321.72; Aggregated Component Count = 6; ; Lysine Count = 19; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 322-324; Charge State m/z (+13): 697.70746; RT (min): 44.9106458333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 326-328; Charge State m/z (+13): 697.7073; RT (min): 45.0552225	947
9062.65_Da_E1625	experimental	3610514.25	Accession = E1625; Aggregated Mass = 9062.65024845309; Aggregated Retention Time = 88.5480158821042; Total Intensity = 3610514.25; Aggregated Component Count = 9; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 656-658; Charge State m/z (+8): 1133.83831; RT (min): 88.6566891666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 656-658; Charge State m/z (+8): 1133.83831; RT (min): 88.6566891666667	948
9066.78_Da_E2101	experimental	270256.07	Accession = E2101; Aggregated Mass = 9066.78212512696; Aggregated Retention Time = 57.8563495641802; Total Intensity = 270256.07; Aggregated Component Count = 4; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep1_2-70-2-10; Scan Range: 418-420; Charge State m/z (+11): 825.16891; RT (min): 57.4078316666667; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract3_rep2_2-70-2-10; Scan Range: 425-427; Charge State m/z (+12): 756.48926; RT (min): 58.3206758333333	949
9067.77_Da_E666	experimental	32670093.26	Accession = E666; Aggregated Mass = 9067.77166638652; Aggregated Retention Time = 52.2724876832108; Total Intensity = 32670093.26; Aggregated Component Count = 20; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 379-381; Charge State m/z (+11): 825.2603; RT (min): 51.7313558333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 379-381; Charge State m/z (+11): 825.2603; RT (min): 51.7313558333333	950
9078.64_Da_E1749 Q3E736_2full78_1G_P1_1T Acetone Artifact	experimental	2224113.41	Accession = E1749; Aggregated Mass = 9078.64483145123; Aggregated Retention Time = 87.884889701795; Total Intensity = 2224113.41; Aggregated Component Count = 6; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 650-652; Charge State m/z (+8): 1135.83759; RT (min): 87.8557608333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 644-646; Charge State m/z (+8): 1135.83774; RT (min): 87.5448208333333	951
9081.69_Da_E134	experimental	319452060.36	Accession = E134; Aggregated Mass = 9081.68682189834; Aggregated Retention Time = 51.3388037513668; Total Intensity = 319452060.36; Aggregated Component Count = 10; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 377-379; Charge State m/z (+11): 826.52366; RT (min): 51.4711758333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 377-379; Charge State m/z (+11): 826.52366; RT (min): 51.4711758333333	952
9081.79_Da_E338	experimental	137000046.87	Accession = E338; Aggregated Mass = 9081.79485463571; Aggregated Retention Time = 52.4223418613854; Total Intensity = 137000046.87; Aggregated Component Count = 31; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 379-381; Charge State m/z (+12): 757.74007; RT (min): 51.7313558333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 379-381; Charge State m/z (+12): 757.74007; RT (min): 51.7313558333333	953
9081.8_Da_E1884	experimental	2230367.08	Accession = E1884; Aggregated Mass = 9081.80181630336; Aggregated Retention Time = 58.0243046791454; Total Intensity = 2230367.08; Aggregated Component Count = 14; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract3_rep1_2-70-2-10; Scan Range: 420-422; Charge State m/z (+12): 757.74087; RT (min): 57.6758908333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 450-452; Charge State m/z (+10): 909.29409; RT (min): 61.6704616666667	954
9095.7_Da_E592	experimental	46216370.86	Accession = E592; Aggregated Mass = 9095.70236557082; Aggregated Retention Time = 51.8697252794822; Total Intensity = 46216370.86; Aggregated Component Count = 8; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 380-382; Charge State m/z (+11): 827.79816; RT (min): 51.8707033333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 381-383; Charge State m/z (+11): 827.79827; RT (min): 52.0040241666667	955
9095.82_Da_E1593	experimental	2787279.85	Accession = E1593; Aggregated Mass = 9095.81611182332; Aggregated Retention Time = 53.8336862396565; Total Intensity = 2787279.85; Aggregated Component Count = 5; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 391-392; Charge State m/z (+11): 827.80825; RT (min): 53.8291291666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 383-385; Charge State m/z (+11): 827.80823; RT (min): 52.2704416666667	956
9105.74_Da_E1094	experimental	2816152.95	Accession = E1094; Aggregated Mass = 9105.74251297041; Aggregated Retention Time = 66.2005341666667; Total Intensity = 2816152.95; Aggregated Component Count = 1; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 484-486; Charge State m/z (+10): 911.4813; RT (min): 66.2005341666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 471-473; Charge State m/z (+10): 911.48063; RT (min): 64.3550275	957
9128.18_Da_E1152 P05759_77frag152_1G_P7_1T Acetyl; Acetyl	experimental	8178741.12	Accession = E1152; Aggregated Mass = 9128.18201309132; Aggregated Retention Time = 45.6717662068706; Total Intensity = 8178741.12; Aggregated Component Count = 4; ; Lysine Count = 18; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 316-318; Charge State m/z (+13): 702.94408; RT (min): 45.6113541666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 329-331; Charge State m/z (+13): 703.02087; RT (min): 45.4549566666667	958
9138.37_Da_E1588	experimental	770807.38	Accession = E1588; Aggregated Mass = 9138.37087597599; Aggregated Retention Time = 50.0808425; Total Intensity = 770807.38; Aggregated Component Count = 1; ; Lysine Count = 9; Abundant Component for Manual Validation of Identification: File: 11-02-15_NS_fract11_rep2_2-70-2-10-50; Scan Range: 368-370; Charge State m/z (+12): 762.45466; RT (min): 50.0808425; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract11_rep1_2-70-2-10-50; Scan Range: 362-364; Charge State m/z (+13): 703.9064; RT (min): 49.4893183333333	959
9140.08_Da_E553	experimental	12387237.29	Accession = E553; Aggregated Mass = 9140.08238853535; Aggregated Retention Time = 45.6897577363342; Total Intensity = 12387237.29; Aggregated Component Count = 2; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 330-332; Charge State m/z (+13): 704.09044; RT (min): 45.7052966666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 330-332; Charge State m/z (+12): 762.844; RT (min): 47.4745433333333	960
9140.4_Da_E806	experimental	33630709.07	Accession = E806; Aggregated Mass = 9140.40307110838; Aggregated Retention Time = 47.2895799837744; Total Intensity = 33630709.07; Aggregated Component Count = 16; ; Lysine Count = 13; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 345-347; Charge State m/z (+13): 703.9612; RT (min): 47.20846; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep1_2-70-2-10; Scan Range: 328-329; Charge State m/z (+12): 762.78827; RT (min): 45.2505958333333	961
